,Subject,Start Date,Start Time,End Time,Description
10,Innovators Toolkit Workshop,2019-11-04,10:00 AM,11:30 AM,"Title: Application and Grant Writing

This Application and Grant Writing workshop explores key elements for applying for grant funding and submitting a compelling, complete grant application. 

This workshop is hosted by Jackie Downing, Director of Grantmaking and Nonprofit Effectiveness at the Community Foundation for Greater New Haven"
11,CITY Orientation,2019-11-04,4:00 PM,5:00 PM ,use last year's
12,WE@Yale Women Innovator Breakfast Series,2019-11-05,9:00 AM,10:00 AM,use last year's
13,Fireside Chat and Reception with Mona Bijoor,2019-11-05,4:30 PM,6:00 PM,"Needs editing: 
While working at companies such as Chanel, Ann Taylor and Elie Tahari, Mona Bijoor saw an opportunity to eliminate many of the inefficiencies in the fashion supply chain and seized upon it. She founded JOOR, an online ecosystem that seamlessly connects brands and retailers by unlocking vital data between the two parties. She has grown JOOR to now serve over 500 fashion brands and 30,000 retailers worldwide. In her recent book, Startups and Downs, Mona shares her wisdom and stories (hers and others’) about how the best entrepreneurs think about failure—as it’s happening and in hindsight—and ultimately win."
14,Office Hours with Mona Bijoor,2019-11-05,2:15 PM,4:00 PM,"Needs editing: 
While working at companies such as Chanel, Ann Taylor and Elie Tahari, Mona Bijoor saw an opportunity to eliminate many of the inefficiencies in the fashion supply chain and seized upon it. She founded JOOR, an online ecosystem that seamlessly connects brands and retailers by unlocking vital data between the two parties. She has grown JOOR to now serve over 500 fashion brands and 30,000 retailers worldwide. In her recent book, Startups and Downs, Mona shares her wisdom and stories (hers and others’) about how the best entrepreneurs think about failure—as it’s happening and in hindsight—and ultimately win."
15,Innovators Toolkit Workshop ,2019-11-07,5:30 PM,7:30 PM,"Title: Storytelling for Innovators

Innovators and entrepreneurs are constantly put on the spot to speak, and they often need to create compelling stories about their ideas. Join the Yale Exit Players, Yale’s oldest improv comedy group, for an interactive workshop where you’ll learn to speak on your feet with serious confidence, master the art of on-the-spot narratives that captivate your audience, and maybe even learn the secrets to great comedy! This will be an active workshop, so please wear comfortable clothing.

This workshop is part of the Innovator's Toolkit, a series of free workshops focused on key skills for innovation."
16,Healthcare Innovation Career Panel,2019-11-08,4:00 PM,6:00 PM,TBD
17,The Match,2019-11-08,4:00 PM,6:00 PM,"Maybe you're getting an idea or project off the ground, and you're looking for co-founders or collaborators to help you get there. On the flip side, maybe you don't have an idea in mind, but you're interested in applying your skills or joining a team that's building something awesome. No matter which group you fall into, how do you find collaborators, figure out the right fit, and align on goals?

Join Tsai CITY and Thinkspaces for The Match: a workshop and ""speed dating"" session that will help you answer these questions. Peter Boyd — a Tsai CITY mentor in residence who's worked alongside innovators like Richard Branson to combat climate change as a senior leader at the B Team and the Carbon War Room, led Virgin Mobile South Africa as CEO, and more — will guide you through key strategies for finding and forming effective collaborations and teams. You'll then move into conversations with fellow participants co-hosted by Thinkspaces, a student-run venture that aims to ""make collaboration easier by connecting you with other Yalies who get things done, just like you."" Whether you're looking for teammates or looking to join a team, you'll leave the workshop with new skills for finding the right match — and maybe your next collaborator."
18,Yong Zhao of Junzi,2019-11-12,11:45 AM,12:45 PM,"Yong, an FES alum, will speak about his entrepreneurial journey in starting Junzi as well as the ups and downs of being a food entrepreneur. Naturally, Junzi food will be served."
19,WE@Yale Women Innovator Breakfast Series,2019-11-13,9:00 AM,10:00 AM,use last year's
20,OpenEarth Collabathon - Day 1 (Launch),2019-11-14,9:00 AM,8:00 PM,"We are organizing a non-competitive open and collaborative hackathon (collabathon) to build on and develop a globally trusted tool to monitor Earth’s atmospheric carbon budget and global climate accounting. The initiative started with a design sprint on December 8th, coinciding with the UNFCCC COP24, continued with a Hackathon in Yale-NUS Singapore and finally consolidated over the summer of 2019 incubating a first prototype of the platform. The output of this open and collaborative effort — Open Climate — is an open source software-based framework that would act as an accounting tool for Earth system governance; an impartial algorithmic system that can achieve decentralized and immutable consensus on one of Earth’s most important vital signs as well as provide accountability to all climate actors —from countries to cities and companies— on their action pledges towards a net zero carbon future."
21,CITY Accelerator - Fall Pitchoff,2019-11-14,5:30 PM,7:30 PM,"use last years

"
22,Art Tech Workshop: Art meets AI: Machine Learning,2019-11-15,11:00 AM,2:00 PM,"A conversation about Artificial Intelligence, Deep Learning, and Neural Networks in the arts, followed by a hands on tutorial on creating your own Deep Learning Artistic Agent."
23,Skills for Sustainable Innovation: Marketing & Communications for Responsible Ventures,2019-11-15,2:00 PM,4:00 PM,"Join Vincent Stanley (CBEY Resident Fellow and Director, Patagonia Philosophy) in a workshop focused on marketing & communications for responsible ventures.

Through discussion and exercises, this workshop will explore why and how businesses that assume full responsibility for their social and environmental impacts can and must be transparent and consistent in marketing and communications with all stakeholders—employees, suppliers, NGOs and neighbors as well as customers. 

Robust communication of responsible practices (and the challenges they create) supports a healthy business culture that builds equity over time through quality, innovation and continuous improvement. A radically transparent approach to marketing also creates internal discipline that helps a company focus on strategies that both identify and realize its best purpose. "
24,OpenEarth Collabathon - Day 2 (Hack),2019-11-15,9:00 AM,8:00 PM,"We are organizing a non-competitive open and collaborative hackathon (collabathon) to build on and develop a globally trusted tool to monitor Earth’s atmospheric carbon budget and global climate accounting. The initiative started with a design sprint on December 8th, coinciding with the UNFCCC COP24, continued with a Hackathon in Yale-NUS Singapore and finally consolidated over the summer of 2019 incubating a first prototype of the platform. The output of this open and collaborative effort — Open Climate — is an open source software-based framework that would act as an accounting tool for Earth system governance; an impartial algorithmic system that can achieve decentralized and immutable consensus on one of Earth’s most important vital signs as well as provide accountability to all climate actors —from countries to cities and companies— on their action pledges towards a net zero carbon future."
25,OpenEarth Collabathon - Day 3 Hack),2019-11-16,9:00 AM,8:00 PM,"We are organizing a non-competitive open and collaborative hackathon (collabathon) to build on and develop a globally trusted tool to monitor Earth’s atmospheric carbon budget and global climate accounting. The initiative started with a design sprint on December 8th, coinciding with the UNFCCC COP24, continued with a Hackathon in Yale-NUS Singapore and finally consolidated over the summer of 2019 incubating a first prototype of the platform. The output of this open and collaborative effort — Open Climate — is an open source software-based framework that would act as an accounting tool for Earth system governance; an impartial algorithmic system that can achieve decentralized and immutable consensus on one of Earth’s most important vital signs as well as provide accountability to all climate actors —from countries to cities and companies— on their action pledges towards a net zero carbon future."
26,OpenEarth Collabathon - Week (Remote),2019-11-17,9:00 AM,8:00 PM,"We are organizing a non-competitive open and collaborative hackathon (collabathon) to build on and develop a globally trusted tool to monitor Earth’s atmospheric carbon budget and global climate accounting. The initiative started with a design sprint on December 8th, coinciding with the UNFCCC COP24, continued with a Hackathon in Yale-NUS Singapore and finally consolidated over the summer of 2019 incubating a first prototype of the platform. The output of this open and collaborative effort — Open Climate — is an open source software-based framework that would act as an accounting tool for Earth system governance; an impartial algorithmic system that can achieve decentralized and immutable consensus on one of Earth’s most important vital signs as well as provide accountability to all climate actors —from countries to cities and companies— on their action pledges towards a net zero carbon future."
27,Henry Blodget/Journalism event,2019-11-18,12:00 PM,1:00 PM,"TBD, emailed Jen to see if her team was creating one"
28,Summer Fellowship and Prize Information Session,2019-11-19,4:00 PM,5:00 PM ,Date Tentative
29,The Hunt,2019-11-20,4:30 PM,6:00 PM,
30,CITY Orientation,2019-11-22,12:30 PM,1:30 PM,use last year's
31,Space Exploration Workshop Series: Prototyping our Life in Space,2019-11-22,10:00 AM,3:00 PM,"Space will be hackable. Space will be playful.

With humanity at the cusp of interplanetary civilization, it's time to build the technologies, tools, and human experiences of our Sci-Fi Space Future. To do so, we unite artists, scientists, engineers, and designers in creating space technologies that envision a bold and culturally rich “new space age”-- from astro-bacteria wearables, to open-access and shareable cubesat constellations, to musical instruments for our space voyages, to floating space habitats, to advanced zero-gravity 3D printing. The MIT Space Exploration Initiative (SEI) supports 40+ research projects, regular zero-g parabolic flights, suborbital and orbital launch research deployments, and a team of 50+ students, staff, and faculty--we aim to found a real-life Starfleet Academy. The SEI is coming to Yale this fall to lead workshops in four of our core research areas and introduce student teams to opportunities to fly in Zero Gravity. We hope you'll join us! Feel free to join for as many of the morning and afternoon sessions as you like--you do not need to attend all four topic areas."
32,UNFCCC Climate Negotiation Week,2019-12-01,,,"Side event at the UN Conference of the Parties in Chile to discuss the OpenClimate platform incubated at the OpenLab
"
33,WE@Yale Study Break,2019-12-04,8:00 PM,9:00 PM,use last year's
34,Pitch Slam or Fail Night,2019-12-05,6:00 PM,8:00 PM,use last year's
35,CITY Orientation,2019-12-05,11:30 AM,12:30 PM,use last year's
36,WE@Yale Study Break,2019-12-06,8:00 PM,9:00 PM,TBD
37,Space Exploration Workshop Series: Prototyping our Life in Space,2019-12-06,10:00 AM,3:00 PM,"Space will be hackable. Space will be playful.

With humanity at the cusp of interplanetary civilization, it's time to build the technologies, tools, and human experiences of our Sci-Fi Space Future. To do so, we unite artists, scientists, engineers, and designers in creating space technologies that envision a bold and culturally rich “new space age”-- from astro-bacteria wearables, to open-access and shareable cubesat constellations, to musical instruments for our space voyages, to floating space habitats, to advanced zero-gravity 3D printing. The MIT Space Exploration Initiative (SEI) supports 40+ research projects, regular zero-g parabolic flights, suborbital and orbital launch research deployments, and a team of 50+ students, staff, and faculty--we aim to found a real-life Starfleet Academy. The SEI is coming to Yale this fall to lead workshops in four of our core research areas and introduce student teams to opportunities to fly in Zero Gravity. We hope you'll join us! Feel free to join for as many of the morning and afternoon sessions as you like--you do not need to attend all four topic areas."
38,WE@Yale Cupcakes & Coding,2019-12-11,8:00 PM,10:00 PM,TBD
39,Innovators Toolkit Workshop,2020-01-01,,,"Title: Fundraising for Non-Profits

"
40,Innovators Toolkit Workshop ,2020-01-01,,,"Title: Pitching 101 

"
41,Innovators Toolkit Workshop ,2020-01-01,,,"Title: Developing a Website - A Beginner's How-To 
"
42,Big Data and the Future of Agriculture,2020-01-01,,,"TBD (Spring, one day)"
43,"Food, Media, and Storytelling",2020-01-01,,,"TBD (Spring, one day)"
44,Startup Yale Prize Info Session (Spring),2020-01-21,4:00 PM,5:00 PM ,Date/time tentative
45,Climate Change Solutions Generator - Session 1,2020-02-07,1:00 PM,3:00 PM,Date/time tentative
46,Climate Change Solutions Generator - Session 2,2020-02-14,1:00 PM,3:00 PM,Date/time tentative
47,Climate Change Solutions Generator - Session 3,2020-02-21,1:00 PM,3:00 PM,Date/time tentative
48,Climate Change Solutions Generator - Session 4,2020-02-28,1:00 PM,3:00 PM,Date/time tentative
49,Climate Change Solutions Generator - Session 5,2020-03-27,1:00 PM,3:00 PM,Date/time tentative
50,Arts & Media Innovation Awardee Showcase,2020-03-27,TBD,TBD,
51,Climate Change Solutions Generator - Session 6,2020-04-03,1:00 PM,3:00 PM,Date/time tentative
52,Climate Change Solutions Generator - Session 7,2020-04-10,1:00 PM,3:00 PM,Date/time tentative
53,Startup Yale Day 1,2020-04-16,8:00 AM,5:00 PM ,TBD
54,Climate Change Solutions Generator - Session 8,2020-04-17,1:00 PM,3:00 PM,Date/time tentative
55,Sabin Prize Competition,2020-04-17,9:00 AM,11:00 AM,Date/time tentative
56,Startup Yale Day 2,2020-04-17,8:00 AM,5:00 PM ,TBD
