,Subject,Start Date,Start Time,End Time,Description
14,Food Product Intensive Session 4,2019-11-07,1:30 PM,4:30 PM,"For the food-obsessed, the secret chefs, and the ambitious eaters—step away from your studies with an extracurricular intensive (a deep-dive, 5-session workshop) you can really dig your teeth into from Tsai CITY, the Landscape Lab, and the Sustainable Food Program. Over five weeks, the 5-session food intensive will explore how to take an idea or prototype for a food product—like your crazy idea for plankton-based pasta, the recipe you’re working on for a super-high-tech energy bar, or the local-food-based meals you've been stocking your freezer with—from a big idea in your dorm kitchen to the global market.



The five sessions will walk you through the steps of transforming an idea into a product, and a product into production: addressing ethics, sourcing ingredients, manufacturing food products, defining your brand, taking goods to market, and working towards scale. Learn from industry experts about the best techniques for creating your own secret sauce, the right person to talk to for your key ingredients, and what a recipe for success looks like in the food industry. Develop your idea, your pitch, and your brand through discussion with industry experts, group critiques of what you're working on, and in-depth mentorship."
15,CITY Accelerator - Fall ,2019-11-08,12:00 PM,3:00 PM,"use last years

"
16,Financing Innovative Ideas Intensive Session 3,2019-11-11,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
17,Food Product Intensive Session 5,2019-11-14,1:30 PM,4:30 PM,"For the food-obsessed, the secret chefs, and the ambitious eaters—step away from your studies with an extracurricular intensive (a deep-dive, 5-session workshop) you can really dig your teeth into from Tsai CITY, the Landscape Lab, and the Sustainable Food Program. Over five weeks, the 5-session food intensive will explore how to take an idea or prototype for a food product—like your crazy idea for plankton-based pasta, the recipe you’re working on for a super-high-tech energy bar, or the local-food-based meals you've been stocking your freezer with—from a big idea in your dorm kitchen to the global market.



The five sessions will walk you through the steps of transforming an idea into a product, and a product into production: addressing ethics, sourcing ingredients, manufacturing food products, defining your brand, taking goods to market, and working towards scale. Learn from industry experts about the best techniques for creating your own secret sauce, the right person to talk to for your key ingredients, and what a recipe for success looks like in the food industry. Develop your idea, your pitch, and your brand through discussion with industry experts, group critiques of what you're working on, and in-depth mentorship."
18,CEID/CITY STAFF MEETING,2019-11-15,12:00 PM,1:00 PM,"NO BLURB, PRIVATE MEETING FOR CITY AND CEID STAFF ONLY"
19,Financing Innovative Ideas Intensive Session 4,2019-11-18,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
20,Arts + Media Innovation Fund - Group meeting w/ award winners,2019-11-21,TBD,TBD,
21,Yale Assembly & Convocation,2019-11-21,2:15 PM,3:15 PM,
22,Financing Innovative Ideas Intensive Session 5,2019-12-02,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
23,Student Advisory Board Meeting,2019-12-04,6:00 PM,7:30 PM,
24,Clinical Redesign Intensive Session 1,2020-01-01,,,"TBD (Spring, full semester | @ YNHH)"
25,Clinical Redesign Intensive Session 2,2020-01-01,,,"TBD (Spring, full semester | @ YNHH)"
26,Clinical Redesign Intensive Session 3,2020-01-01,,,"TBD (Spring, full semester | @ YNHH)"
27,Clinical Redesign Intensive Session 4,2020-01-01,,,"TBD (Spring, full semester | @ YNHH)"
28,CITY Accelerator - Spring,2020-01-01,11:00 AM,2:00 PM,"use last years

"
29,CITY Accelerator - Spring,2020-01-01,,,"use last years

"
30,CITY Accelerator - Spring,2020-01-01,,,"use last years

"
31,CITY Accelerator - Spring Pitchoff,2020-01-01,,,"use last years

"
32,CITY Accelerator - Spring,2020-01-01,,,"use last years

"
33,CITY Accelerator - Spring,2020-01-01,,,"use last years

"
34,CITY Accelerator - Spring,2020-01-01,,,"use last years

"
35,CITY Accelerator - Spring,2020-01-01,,,"use last years

"
36,Food Waste to Food Products Retreat,2020-01-01,,,"TBD (Spring, one day)"
37,Change Makers Retreat,2020-01-01,,,
38,Financing Innovative Ideas Intensive Session 6,2020-01-27,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
39,Arts + Media Innovation Fund - Group meeting w/ award winners,2020-01-30,TBD,TBD,
40,Financing Innovative Ideas Intensive Session 7,2020-02-03,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
41,2020 Reality of Climate Change Hackathon Day 1,2020-02-07,,,"Hackathon Launch Day, featuring guest talks, team formation, and some brief workshops"
42,2020 Reality of Climate Change Hackathon Day 2,2020-02-08,,,"Daylong Hackathon focusing on ways to communicate the effects of Climate Change, how human actions contribute to Climate Change, and/or ways to combat Climate Change"
